stop_name,stop_lat,stop_lon,stop_id
MEMORIAL DR SE @ BILL KENNEDY WAY,33.746556,-84.358497,268
MEMORIAL DR SE@PEARL ST SE,33.746653,-84.362193,269
MEMORIAL DR SE @ PEARL ST SE,33.746591,-84.361791,270
MEMORIAL DR SE@VENICE DR,33.747217,-84.286047,271
FLAT SHOALS AVE SE @ MAY AVE SE,33.739058,-84.344049,272
FLAT SHOALS AVE SE @ MILTON PL SE,33.736149,-84.341777,273
FLAT SHOALS AVE SE @ EAST SIDE AVE,33.733852,-84.34021,274
FLAT SHOALS RD SE@LEAH LN SE,33.729303,-84.328669,275
FLAT SHOALS RD SE@1909,33.727647,-84.325332,276
GLENWOOD AVE SE@MAYNARD TER SE,33.739963,-84.334886,277
GLENWOOD AVE SE@CLIFTON ST SE,33.739919,-84.33231,278
GLENWOOD AVE SE@WINTHROP DR SE,33.739874,-84.330647,279
GLENWOOD AVE SE@WINTHROP DR SE,33.739754,-84.329835,280
GLENWOOD AVE SE@HOWARD ST SE,33.73968,-84.3264,281
GLENWOOD AVE SE @ WINTHROP DR SE,33.739928,-84.330071,282
GLENWOOD AVE SE @ CLIFTON ST SE,33.73999,-84.33256,283
GLENWOOD AVE SE @ MAYNARD TER SE,33.740035,-84.334778,284
FLAT SHOALS RD SE @ 1930,33.72776,-84.325432,285
FLAT SHOALS RD SE@HILLBURN DR SE,33.728766,-84.326887,286
FLAT SHOALS RD SE@LEAH LN SE,33.729249,-84.32831,287
FLAT SHOALS RD SE@HILLBURN DR SE,33.728712,-84.327234,288
FLAT SHOALS AVE SE @ EAST SIDE AVE,33.733804,-84.339994,289
FLAT SHOALS AVE SE @ VAN EPPS AVE SE,33.736749,-84.342005,290
FLAT SHOALS AVE SE @ NEWTON AVE SE,33.737617,-84.342476,291
BOULDERCREST DR SE @ PIPER CIR SE,33.72686,-84.33315,292
BOULDERCREST DR SE @ STALLINGS AVE SE,33.727843,-84.333635,293
BOULDERCREST DR SE @ FLAT SHOALS RD SE,33.730708,-84.336396,294
FLAT SHOALS AVE SE @ NEWTON AVE SE,33.738065,-84.342842,295
FLAT SHOALS AVE SE @ CAVANAUGH AVE SE,33.731236,-84.337211,296
BOULDERCREST DR SE @ FLAT SHOALS RD SE,33.72995,-84.335724,297
BOULDERCREST DR SE @ WINFIELD AVE SE,33.72902,-84.33418,298
BOULDERCREST DR SE @ BLACK OAK DR SE,33.72911,-84.3345,299
BOULDERCREST DR SE @ STALLINGS AVE SE,33.727795,-84.333918,300
BOULDERCREST DR SE @ WILLOW PL SE,33.72709,-84.33357,301
HOSEA L WILLIAMS DR @ LAKEVIEW DR NE,33.751125,-84.314222,302
HOSEA L WILLIAMS DR NE @ ROCKYFORD RD NE,33.751144,-84.316101,303
HOSEA L WILLIAMS DR NE @ BATES AVE NE,33.751144,-84.31739,304
HOSEA L WILLIAMS DR NE @ BRANHAM ST NE,33.751161,-84.318723,305
